"","Position","Track.Name","Artist","Streams","URL","Date","Region","Danceability","Duration","Instrumentalness","Speechiness","Tempo"
"3044077",34,"My Way","Calvin Harris",141517,"1vvNmPOiUuyCbgWmtc6yfm","2017-01-09","gb",NA,NA,NA,NA,NA
"3044078",35,"Bad Things (with Camila Cabello)","Machine Gun Kelly",141369,"1PSBzsahR2AKwLJgx8ehBj","2017-01-09","gb",NA,NA,NA,NA,NA
"3044079",36,"Starving","Hailee Steinfeld",139283,"1qOLh0tI7trd1zdDKxYZTe","2017-01-09","gb",NA,NA,NA,NA,NA
"3044080",37,"Oops","Little Mix",131022,"37xcWhVKQ99uuiA5Y4yapi","2017-01-09","gb",NA,NA,NA,NA,NA
"3044081",38,"After The Afterparty (feat. Lil Yachty)","Charli XCX",130170,"0y8Wf6ltWpGCpgqVa21QNX","2017-01-09","gb",NA,NA,NA,NA,NA
"3044082",39,"How Far I'll Go - From ""Moana""","Alessia Cara",129232,"5hYTyyh2odQKphUbMqc5gN","2017-01-09","gb",NA,NA,NA,NA,NA
"3044083",40,"No Lie","Sean Paul",128910,"3cFsmM51N5zMAuu1nNY4Tw","2017-01-09","gb",NA,NA,NA,NA,NA
"3044084",41,"Love On Me","Galantis",128696,"2MHCiOohBZEQuLgDTPvSzF","2017-01-09","gb",NA,NA,NA,NA,NA
"3044085",42,"Mercy","Shawn Mendes",126477,"4TZy1wLyHec06pwgFYDh1a","2017-01-09","gb",NA,NA,NA,NA,NA
"3044086",43,"The A Team","Ed Sheeran",125669,"1VdZ0vKfR5jneCmWIUAMxK","2017-01-09","gb",NA,NA,NA,NA,NA
"3044087",44,"Let Me Love You","DJ Snake",125260,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-09","gb",NA,NA,NA,NA,NA
"3044088",45,"So Good","Louisa Johnson",122404,"20js7QbHkIuzrgecUTPfl7","2017-01-09","gb",NA,NA,NA,NA,NA
"3044089",46,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",121243,"6DNtNfH8hXkqOX1sjqmI7p","2017-01-09","gb",NA,NA,NA,NA,NA
"3044090",47,"Thinking Out Loud","Ed Sheeran",119176,"1Slwb6dOYkBlWal1PGtnNg","2017-01-09","gb",NA,NA,NA,NA,NA
"3044091",48,"All We Know","The Chainsmokers",113644,"2rizacJSyD9S1IQUxUxnsK","2017-01-09","gb",NA,NA,NA,NA,NA
"3044092",49,"Bad and Boujee (feat. Lil Uzi Vert)","Migos",107157,"4Km5HrUvYTaSUfiSGPJeQR","2017-01-09","gb",NA,NA,NA,NA,NA
"3044093",50,"In the Name of Love","Martin Garrix",101283,"04DwTuZ2VBdJCCC5TROn7L","2017-01-09","gb",NA,NA,NA,NA,NA
"3044094",51,"Don't Let Me Down","The Chainsmokers",98893,"0QsvXIfqM0zZoerQfsI9lm","2017-01-09","gb",NA,NA,NA,NA,NA
"3044095",52,"Deja Vu","J. Cole",98428,"6I6NX6tjGsxFAsIfGzY9lJ","2017-01-09","gb",NA,NA,NA,NA,NA
"3044096",53,"Love$ick","Mura Masa",85647,"5v9N8Rx3QsFvr50cxyQcA3","2017-01-09","gb",NA,NA,NA,NA,NA
"3044097",54,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",81097,"0L7loeTIg6akW84aEQZpCT","2017-01-09","gb",NA,NA,NA,NA,NA
